model,eval_set,n_seeds,roc_auc_mean,roc_auc_std,roc_auc_str,pr_auc_mean,pr_auc_std,pr_auc_str,accuracy_mean,accuracy_std,accuracy_str,f1_mean,f1_std,f1_str,sensitivity_mean,sensitivity_std,sensitivity_str,specificity_mean,specificity_std,specificity_str,brier_score_mean,brier_score_std,brier_score_str,ece_mean,ece_std,ece_str
Client DP (sigma=0.20),TCGA_Locked_Test,5,0.678125,0.07378574345698496,0.6781 +/- 0.0738,0.9039803176592069,0.026706330770383094,0.9040 +/- 0.0267,0.63,0.1890767040118904,0.6300 +/- 0.1891,0.7047926329233044,0.23485513087083007,0.7048 +/- 0.2349,0.6875,0.3365728004459065,0.6875 +/- 0.3366,0.4,0.4541475531146238,0.4000 +/- 0.4541,0.27128711031241104,0.11247389463391236,0.2713 +/- 0.1125,0.30860287744639725,0.14291069651355479,0.3086 +/- 0.1429
Client DP (sigma=0.20),UPenn_External_Test,5,0.5848039215686276,0.11136073459076583,0.5848 +/- 0.1114,0.9239436726327181,0.0291138907442897,0.9239 +/- 0.0291,0.636842105263158,0.29957135685090275,0.6368 +/- 0.2996,0.714149498400469,0.28548297055741073,0.7141 +/- 0.2855,0.6725490196078432,0.3753506626527571,0.6725 +/- 0.3754,0.3333333333333333,0.377307714089059,0.3333 +/- 0.3773,0.26901201079166653,0.18587648192292963,0.2690 +/- 0.1859,0.31111283211653584,0.23408544560927855,0.3111 +/- 0.2341
FedAvg MLP,TCGA_Locked_Test,5,0.434375,0.10089927681851837,0.4344 +/- 0.1009,0.7882767589844796,0.04633810994427319,0.7883 +/- 0.0463,0.7799999999999999,0.05700877125495691,0.7800 +/- 0.0570,0.8745471521942111,0.0349865812301879,0.8745 +/- 0.0350,0.9625,0.05590169943749474,0.9625 +/- 0.0559,0.05,0.11180339887498951,0.0500 +/- 0.1118,0.2058630875234017,0.03605722456778098,0.2059 +/- 0.0361,0.2142687818213639,0.037869706426093684,0.2143 +/- 0.0379
FedAvg MLP,UPenn_External_Test,5,0.42205882352941176,0.0729818025288709,0.4221 +/- 0.0730,0.8834835494922532,0.026059857336160012,0.8835 +/- 0.0261,0.856140350877193,0.017099639201419253,0.8561 +/- 0.0171,0.922421803548564,0.009968941253793431,0.9224 +/- 0.0100,0.9568627450980391,0.019111361460409725,0.9569 +/- 0.0191,0.0,0.0,0.0000 +/- 0.0000,0.13401816611007977,0.011089483063802608,0.1340 +/- 0.0111,0.14232790088269512,0.015468748115658456,0.1423 +/- 0.0155
FedProx MLP (mu=0.01),TCGA_Locked_Test,5,0.509375,0.1068914461030442,0.5094 +/- 0.1069,0.8148870615216397,0.04892585222578283,0.8149 +/- 0.0489,0.82,0.04472135954999578,0.8200 +/- 0.0447,0.8980392156862745,0.024279968132034927,0.8980 +/- 0.0243,0.9875,0.02795084971874737,0.9875 +/- 0.0280,0.15,0.22360679774997894,0.1500 +/- 0.2236,0.17612706513081214,0.03278176206980674,0.1761 +/- 0.0328,0.17958166898426056,0.024824353896511803,0.1796 +/- 0.0248
FedProx MLP (mu=0.01),UPenn_External_Test,5,0.38398692810457524,0.08164213683238151,0.3840 +/- 0.0816,0.8746377500177237,0.02900237390234107,0.8746 +/- 0.0290,0.8456140350877192,0.018189860836252392,0.8456 +/- 0.0182,0.9160900390387733,0.010820558160221065,0.9161 +/- 0.0108,0.9431372549019608,0.022356380884296853,0.9431 +/- 0.0224,0.016666666666666666,0.037267799624996496,0.0167 +/- 0.0373,0.13763027784565662,0.014626048148931982,0.1376 +/- 0.0146,0.1436111090176277,0.018878952282197117,0.1436 +/- 0.0189
Patient DP (sigma=0.05),TCGA_Locked_Test,5,0.621875,0.12470668712021822,0.6219 +/- 0.1247,0.8698205607924068,0.06379157617119116,0.8698 +/- 0.0638,0.78,0.02738612787525833,0.7800 +/- 0.0274,0.8761904761904761,0.017388017698576702,0.8762 +/- 0.0174,0.975,0.03423265984407288,0.9750 +/- 0.0342,0.0,0.0,0.0000 +/- 0.0000,0.2119609630092477,0.030216103699942137,0.2120 +/- 0.0302,0.2129197621437675,0.02689351195074827,0.2129 +/- 0.0269
Patient DP (sigma=0.05),UPenn_External_Test,5,0.48643790849673196,0.0494351936794993,0.4864 +/- 0.0494,0.8988520613664285,0.01761955951638013,0.8989 +/- 0.0176,0.8350877192982455,0.0358470469152676,0.8351 +/- 0.0358,0.9096568866890271,0.021200692039896107,0.9097 +/- 0.0212,0.9313725490196079,0.03859807781378334,0.9314 +/- 0.0386,0.016666666666666666,0.037267799624996496,0.0167 +/- 0.0373,0.15683736655894398,0.029072891577685042,0.1568 +/- 0.0291,0.16442952326858248,0.030208535823850437,0.1644 +/- 0.0302
Patient DP (sigma=0.10),TCGA_Locked_Test,5,0.54375,0.15245388647063085,0.5437 +/- 0.1525,0.8374383703993805,0.06724347655624391,0.8374 +/- 0.0672,0.79,0.022360679774997918,0.7900 +/- 0.0224,0.8825396825396826,0.014197256999998664,0.8825 +/- 0.0142,0.9875,0.02795084971874737,0.9875 +/- 0.0280,0.0,0.0,0.0000 +/- 0.0000,0.206895277255992,0.02215170434267767,0.2069 +/- 0.0222,0.2062421541198546,0.021449645694916798,0.2062 +/- 0.0214
Patient DP (sigma=0.10),UPenn_External_Test,5,0.4666666666666667,0.07020061206620384,0.4667 +/- 0.0702,0.8987815622002266,0.019013694691617428,0.8988 +/- 0.0190,0.8649122807017544,0.010001538816659102,0.8649 +/- 0.0100,0.9274052876310698,0.005707728806137847,0.9274 +/- 0.0057,0.9647058823529411,0.011178190442148406,0.9647 +/- 0.0112,0.016666666666666666,0.037267799624996496,0.0167 +/- 0.0373,0.12753270829444485,0.009562928980844237,0.1275 +/- 0.0096,0.12689799767534465,0.006821183112481125,0.1269 +/- 0.0068
Patient DP (sigma=0.20),TCGA_Locked_Test,5,0.7125,0.0686433832390275,0.7125 +/- 0.0686,0.9185104131442173,0.026528371076948297,0.9185 +/- 0.0265,0.8,0.0,0.8000 +/- 0.0000,0.888888888888889,1.2412670766236366e-16,0.8889 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.18809568964030093,0.010180167954069648,0.1881 +/- 0.0102,0.18861218313865366,0.0077383214031014995,0.1886 +/- 0.0077
Patient DP (sigma=0.20),UPenn_External_Test,5,0.4658496732026144,0.06741656605475442,0.4658 +/- 0.0674,0.89764603655556,0.018398911639484202,0.8976 +/- 0.0184,0.8929824561403509,0.007339123039772615,0.8930 +/- 0.0073,0.943359173126615,0.003924757537920872,0.9434 +/- 0.0039,0.996078431372549,0.005369828995148668,0.9961 +/- 0.0054,0.016666666666666666,0.037267799624996496,0.0167 +/- 0.0373,0.10442767889588311,0.004521518601799296,0.1044 +/- 0.0045,0.09462009889774677,0.007647551742322831,0.0946 +/- 0.0076
