Held_Out_Site,Train_Sites,roc_auc,pr_auc,accuracy,f1,brier,ece,ece_recalibrated,calib_slope,recalibrated_slope,optimal_temperature
TCGA (US),UPenn + CGGA,0.8490172721858249,0.9075448265617869,0.7563025210084033,0.7716535433070866,0.18884673714637756,0.21627441649677376,0.2133951855181646,1.312082052230835,1.3471744060516357,1.0271754462553495
UPenn (US),TCGA + CGGA,0.7696078431372549,0.9685972395725055,0.6929824561403509,0.8066298342541437,0.18859192728996277,0.29042207227464306,0.2890328202854122,0.79100501537323,0.7768810987472534,0.9821582392818105
CGGA (China),TCGA + UPenn,0.8551587301587301,0.9312743832595343,0.84,0.8974358974358975,0.12420874834060669,0.08131727933883669,0.09801852285861967,1.493850588798523,1.142611026763916,0.7649090988182661
