model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Client DP (sigma=0.05),9999,UPenn_external_test,0.7279411764705882,0.9603915861799815,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.15786265030508245,0.17972745834818452
Client DP (sigma=0.05),9999,CGGA_external_val,0.8157181571815719,0.9546549830647475,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.1341841156125943,0.1574234100363283
Patient DP (sigma=0.10),9999,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0003924674221372141,0.008061600929646083
Patient DP (sigma=0.10),9999,UPenn_external_test,0.7279411764705882,0.9603915861799815,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.15786265030508245,0.17972745834818452
Patient DP (sigma=0.10),9999,CGGA_external_val,0.8157181571815719,0.9546549830647475,0.84,0.9047619047619048,0.926829268292683,0.4444444444444444,0.1341841156125943,0.1574234100363283
Client DP (sigma=0.10),9999,TCGA_test,1.0,1.0,0.991304347826087,0.9945945945945946,1.0,0.9565217391304348,0.006009767723032658,0.018658079268368453
Client DP (sigma=0.10),9999,UPenn_external_test,0.7377450980392156,0.9627452094248485,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.15694093503681855,0.17181737040092246
Client DP (sigma=0.10),9999,CGGA_external_val,0.8428184281842818,0.9635870297827616,0.8,0.875,0.8536585365853658,0.5555555555555556,0.1619638988310253,0.1620301456246258
Patient DP (sigma=0.20),9999,TCGA_test,1.0,1.0,0.991304347826087,0.9945945945945946,1.0,0.9565217391304348,0.006009767723032658,0.018658079268368453
Patient DP (sigma=0.20),9999,UPenn_external_test,0.7377450980392156,0.9627452094248485,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.15694093503681855,0.17181737040092246
Patient DP (sigma=0.20),9999,CGGA_external_val,0.8428184281842818,0.9635870297827616,0.8,0.875,0.8536585365853658,0.5555555555555556,0.1619638988310253,0.1620301456246258
Client DP (sigma=0.20),9999,TCGA_test,0.9877126654064272,0.9964583754364051,0.991304347826087,0.9945945945945946,1.0,0.9565217391304348,0.012462102298291424,0.011854601630233646
Client DP (sigma=0.20),9999,UPenn_external_test,0.7279411764705883,0.9515058319716345,0.8157894736842105,0.8934010152284264,0.8627450980392157,0.4166666666666667,0.15181475392576618,0.15153568453340377
Client DP (sigma=0.20),9999,CGGA_external_val,0.8130081300813008,0.9566860351147924,0.78,0.8641975308641975,0.8536585365853658,0.4444444444444444,0.17511706340451716,0.20156701424288537
